10-20 Hrs,Ace Combat 7,COM,5-10 Hrs,Kirby Super Star (Kirby Series),EMU,30-35 Hrs,Hades (Hades Series),SWI,50-60 Hrs,Death Stranding,PS4,30-40 Hrs,EarthBound,SNS,35-40 Hrs,The Legend of Zelda: Wind Waker HD (The Legend of Zelda Series),WIU,40-50 Hrs,Final Fantasy VII,PS2,30-40 Hrs,Pokemon Crystal (Pokemon Series),3DS,30-35 Hrs,Pokemon FireRed (Pokemon),GBA,Stop,,,
20-25 Hrs,Alien Isolation,COM,5-10 Hrs,Super Metroid (Metroid Series),EMU,Unknown,Mario Kart 8 Deluxe DLC Grand Prix (Only 150cc/Mirror) (MarioKart Series),SWI,20-30 Hrs,God of War 4,PS4,15-20 Hrs,Yoshi's Island,SNS,10-15 Hrs,Bayonetta (Bayonetta Series),WIU,80-100 Hrs,Persona 3 FES: The Answer,PS2,45-55 Hrs,SMT IV,3DS,35-40 Hrs,Pokemon Ruby (Pokemon),GBA,Stop,,,
10-20 Hrs,Antonblast,COM,25-30 Hrs,Chrono Trigger ,EMU,Unknown,Paper Mario and the Thousand Year Door (Paper Mario Series),SWI,30-40 Hrs,Ghost of Tsushima,PS4,15-20 Hrs,Legend of Zelda: A Link to the Past,SNS,10-20 Hrs,Captain Toad Treasure Tracker,WIU,5-10 Hrs,Sly Cooper,PS2,Unknown,Mario Kart 7 GP,3DS,,,,Stop,,,
10-15 Hrs,BioShock (BioShock Series),COM,5-10 Hrs,Luigi Mansion (Luigi Series),EMU,30-40 Hrs,Pokemon Shield (Pokemon Series),SWI,60-70 Hrs,Red Dead Redemption 2,PS4,5 Hrs,Donkey Kong Country (Donkey Kong Country Series),SNS,25-30 Hrs,Yoshi's Wooly World (Yoshi Series),WIU,,,,20-30 Hrs,Mario and Luigi Superstar Saga (Mario and Luigi Series),3DS,,,,Stop,,,
15-20 Hrs,Black Mesa,COM,25-30 Hrs,Pokemon Colleseum (Pokemon Series),EMU,20-25 Hrs,Super Mario 3D All Stars (64),SWI,30-40 Hrs,Horizon Zero Dawn,PS4,,,,60-70 Hrs,Xenoblade Chronicles (Xenoblade Series),WIU,,,,15-20 Hrs,Legend of Zelda: A Link Between Worlds,3DS,,,,Stop,,,
25-30 Hrs,Cuphead,COM,10-15 Hrs,F-Zero GX (F Zero Series),EMU,25-30 Hrs,Super Mario 3D All Stars (Sunshine),SWI,30-40 Hrs,Bloodborne,PS4,,,,25-30 Hrs,Paper Mario (Paper Mario Series),WIU,,,,5/6 Hrs,Super Mario Bros 3,3DS,,,,Stop,,,
50-60 Hrs,Cyberpunk 2077,COM,30-35 Hrs,Pokemon XD: Gale of Darkness (Pokemon Series),EMU,15-20 Hrs,Super Mario RPG,SWI,,,,,,,10-15 Hrs,Kirby and the Rainbow Curse (Kirby Series),WIU,,,,10-20 Hrs,Kid Icarus Uprising,3DS,,,,Stop,,,
15-20 Hrs,DOOM (DOOM 2016 Series),COM,20-25 Hrs,Mother,EMU,30-40 Hrs,The Legend of Zelda Skyward Sword HD (The Legend of Zelda Series),SWI,,,,,,,25-30 Hrs,Donkey Kong Country Returns (Donkey Kong Country Series),WIU,,,,70-80 Hrs,Animal Crossing New Leaf,3DS,,,,Stop,,,
40-45 Hrs,Dragon Ball Z Kakarot,COM,25-30 Hrs,Mother 3,EMU,Unknown,The Legend of Zelda Tears of the Kingdom (The Legend of Zelda Series) (Wait for BOTW),SWI,,,,,,,30-35 Hrs,The Legend of Zelda: Ocarina of Time (The Legend of Zelda Series),WIU,,,,20-25 Hrs,Kirby Triple Deluxe (Kirby Series),3DS,,,,Stop,,,
40-45 Hrs,Fallout 4 (Fallout Series),COM,20-25 Hrs,Okamiden (Okami Series),EMU,15-25 Hrs,Yoshi's Crafted World (Yoshi Series),SWI,,,,,,,5-10 Hrs,Wario Land 4 (Wario Land Series),WIU,,,,20-25 Hrs,Kirby's Extra Epic Yarn (Kirby Series),3DS,,,,Stop,,,
15-25 Hrs,Fallout (Fallout Series),COM,40-50 Hrs,Shin Megami Tensei 2,EMU,,,,,,,,,,20-25 Hrs,Golden Sun,WIU,,,,5-10 Hrs,Kirby and the Amazing Mirror (Kirby Series),3DS,,,,Stop,,,
15-20 Hrs,Ghostwire Tokyo,COM,,,,,,,,,,,,,5 Hrs,Mega Man X (Mega Man Series),WIU,,,,10-15 Hrs,Metroid Samus Returns,3DS,,,,Stop,,,
30-35 Hrs,Hades 2 (Hades Series),COM,,,,,,,,,,,,,15-20 Hrs,Super Mario RPG (Super Mario Series),WIU,,,,,,,,,,Stop,,,
10-15 Hrs,Half Life Alyx (Half Life Series),COM,,,,,,,,,,,,,5-8 Hrs,WarioWare: Smooth Moves (Wario Ware Series),WIU,,,,,,,,,,Stop,,,
10-15 Hrs,Halo 2 (Halo Series),COM,,,,,,,,,,,,,10-20 Hrs,Metroid Prime (Metroid Series),WIU,,,,,,,,,,Stop,,,
Idk Bruh,A Hate in Time Death Wish,COM,,,,,,,,,,,,,5-10 Hrs,WarioWare: Touched (WarioWare Series),WIU,,,,,,,,,,Stop,,,
35-40 Hrs,Hollow Knight: Silksong,COM,,,,,,,,,,,,,20-25 Hrs,Mario and Luigi: Partners in Time (Mario and Luigi Series),WIU,,,,,,,,,,Stop,,,
