10-20,Ace Combat 7,COM,0
5-10,Kirby Super Star (Kirby Series),EMU,0
30-35,Hades (Hades Series),SWI,0
50-60,Death Stranding,PS4,1
30-40,EarthBound,SNS,0
35-40,The Legend of Zelda: Wind Waker HD (The Legend of Zelda Series),WIU,0
40-50,Final Fantasy VII,PS2,0
30-40,Pokemon Crystal (Pokemon Series),3DS,0
30-35,Pokemon FireRed (Pokemon),GBA,0
20-25,Alien Isolation,COM,0
5-10,Super Metroid (Metroid Series),EMU,1
0-0,Mario Kart 8 Deluxe DLC Grand Prix (Only 150cc/Mirror) (MarioKart Series),SWI,0
20-30,God of War 4,PS4,0
15-20,Yoshi's Island,SNS,0
10-15,Bayonetta (Bayonetta Series),WIU,0
80-100,Persona 3 FES: The Answer,PS2,0
45-55,SMT IV,3DS,0
35-40,Pokemon Ruby (Pokemon),GBA,0
10-20,Antonblast,COM,0
25-30,Chrono Trigger ,EMU,0
0-0,Paper Mario and the Thousand Year Door (Paper Mario Series),SWI,1
30-40,Ghost of Tsushima,PS4,1
15-20,Legend of Zelda: A Link to the Past,SNS,0
10-20,Captain Toad Treasure Tracker,WIU,0
5-10,Sly Cooper,PS2,0
0-0,Mario Kart 7 GP,3DS,1
10-15,BioShock (BioShock Series),COM,0
5-10,Luigi Mansion (Luigi Series),EMU,0
30-40,Pokemon Shield (Pokemon Series),SWI,0
60-70,Red Dead Redemption 2,PS4,0
5-5,Donkey Kong Country (Donkey Kong Country Series),SNS,0
25-30,Yoshi's Wooly World (Yoshi Series),WIU,0
20-30,Mario and Luigi Superstar Saga (Mario and Luigi Series),3DS,0
15-20,Black Mesa,COM,0
25-30,Pokemon Colleseum (Pokemon Series),EMU,0
20-25,Super Mario 3D All Stars (64),SWI,1
30-40,Horizon Zero Dawn,PS4,1
60-70,Xenoblade Chronicles (Xenoblade Series),WIU,0
15-20,Legend of Zelda: A Link Between Worlds,3DS,1
25-30,Cuphead,COM,0
10-15,F-Zero GX (F Zero Series),EMU,0
25-30,Super Mario 3D All Stars (Sunshine),SWI,0
30-40,Bloodborne,PS4,1
25-30,Paper Mario (Paper Mario Series),WIU,0
0-0,Super Mario Bros 3,3DS,0
50-60,Cyberpunk 2077,COM,0
30-35,Pokemon XD: Gale of Darkness (Pokemon Series),EMU,0
15-20,Super Mario RPG,SWI,1
10-15,Kirby and the Rainbow Curse (Kirby Series),WIU,0
10-20,Kid Icarus Uprising,3DS,0
15-20,DOOM (DOOM 2016 Series),COM,0
20-25,Mother,EMU,1
30-40,The Legend of Zelda Skyward Sword HD (The Legend of Zelda Series),SWI,1
25-30,Donkey Kong Country Returns (Donkey Kong Country Series),WIU,0
70-80,Animal Crossing New Leaf,3DS,0
40-45,Dragon Ball Z Kakarot,COM,0
25-30,Mother 3,EMU,0
0-0,The Legend of Zelda Tears of the Kingdom (The Legend of Zelda Series) (Wait for BOTW),SWI,0
30-35,The Legend of Zelda: Ocarina of Time (The Legend of Zelda Series),WIU,0
20-25,Kirby Triple Deluxe (Kirby Series),3DS,0
40-45,Fallout 4 (Fallout Series),COM,0
20-25,Okamiden (Okami Series),EMU,0
15-25,Yoshi's Crafted World (Yoshi Series),SWI,0
5-10,Wario Land 4 (Wario Land Series),WIU,0
20-25,Kirby's Extra Epic Yarn (Kirby Series),3DS,1
15-25,Fallout (Fallout Series),COM,0
40-50,Shin Megami Tensei 2,EMU,0
20-25,Golden Sun,WIU,1
5-10,Kirby and the Amazing Mirror (Kirby Series),3DS,1
15-20,Ghostwire Tokyo,COM,0
5-5,Mega Man X (Mega Man Series),WIU,1
10-15,Metroid Samus Returns,3DS,0
30-35,Hades 2 (Hades Series),COM,0
15-20,Super Mario RPG (Super Mario Series),WIU,1
10-15,Half Life Alyx (Half Life Series),COM,0
5-8,WarioWare: Smooth Moves (Wario Ware Series),WIU,0
10-15,Halo 2 (Halo Series),COM,0
10-20,Metroid Prime (Metroid Series),WIU,0
0-0,A Hate in Time Death Wish,COM,0
5-10,WarioWare: Touched (WarioWare Series),WIU,0
35-40,Hollow Knight: Silksong,COM,0
20-25,Mario and Luigi: Partners in Time (Mario and Luigi Series),WIU,0
10-20,I Wani Hug that Gator,COM,0
25-30,Pokemon Mystery Dungeon: Explorers of the Sky (Pokemon Mystery Dungeon Series),WIU,1
30-35,Lego Batman 3 (LEGO Series),COM,0
20-25,The Legend of Zelda: Spirit Tracks (The Legend of Zelda Series),WIU,0
15-20,Lego Ningago Movie Game (LEGO Series),COM,1
50-60,The Legend of Zelda: Breath of the Wild (The Legend of Zelda Series),WIU,0
35-40,Lego Star Wars: The Skywalker Saga,COM,0
15-20,Spider-Man: Miles Morales (Spider-Man Series),COM,0
10-15,Maneater,COM,0
45-50,Monster Hunter World,COM,0
25-30,Nine Sols,COM,0
0-0,Terraria 1.5 Legendary Mode,COM,1
20-25,The Outer Worlds,COM,0
20-25,Ace Attorney (Ace Attorney Series),COM,0
10-15,Pizza Tower,COM,0
25-35,Planet Crafter ,COM,0
10-15,Postal 2,COM,0
20-30,Raidou: Remastered,COM,0
0-0,Risk of Rain 2 (Achievements),COM,0
0-0,Risk of Rain Returns (Achievements),COM,1
10-15,Slime Rancher 2 (Slime Rancher Series),COM,0
20-25,Sonic Frontiers (Sonic Series),COM,0
10-15,Sonic Mania (Sonic Series),COM,0
20-30,Star Wars JEDI: Fallen Order (Star Wars JEDI Series),COM,0
25-30,Subnautica: Below Zero (Subnautica Series),COM,0
10-15,Ultrakill,COM,0
10-20,Undertale Yellow,COM,0
20-30,Deltarune Replay,COM,1
